edge_index,transition_time_s,depth_stamp_s,depth_received_s,latency_s
1,1786383896.262267,1786383896.164000,1786383896.204926,0.098267
2,1786383901.462215,1786383901.398000,1786383901.456050,0.064215
3,1786383905.060045,1786383905.006000,1786383905.046463,0.054044
4,1786383908.463851,1786383908.398000,1786383908.453454,0.065851
5,1786383916.460708,1786383916.352000,1786383916.410019,0.108708
6,1786383921.659450,1786383921.586000,1786383921.631480,0.073450
7,1786383926.861725,1786383926.817000,1786383926.853970,0.044725
8,1786383932.769761,1786383932.724000,1786383932.762891,0.045761
9,1786383941.962577,1786383941.898000,1786383941.952948,0.064577
10,1786383950.860790,1786383950.805000,1786383950.859943,0.055789
11,1786383957.670034,1786383957.603000,1786383957.660377,0.067034
12,1786383965.759848,1786383965.694000,1786383965.745852,0.065848
13,1786383970.259846,1786383970.166000,1786383970.205572,0.093846
14,1786383976.264124,1786383976.218000,1786383976.254678,0.046124
15,1786383980.765113,1786383980.702000,1786383980.758589,0.063113
16,1786383992.367934,1786383992.322000,1786383992.359714,0.045934
17,1786383997.665045,1786383997.623000,1786383997.664357,0.042045
18,1786384005.060149,1786384004.959000,1786384004.997321,0.101149
19,1786384012.861897,1786384012.774000,1786384012.812837,0.087897
20,1786384023.762385,1786384023.646000,1786384023.710647,0.116385
21,1786384040.775115,1786384040.728000,1786384040.766777,0.047115
22,1786384047.860587,1786384047.784000,1786384047.847161,0.076587
23,1786384053.666718,1786384053.618000,1786384053.660634,0.048717
24,1786384059.558845,1786384059.461000,1786384059.531527,0.097845
25,1786384065.259387,1786384065.169000,1786384065.211086,0.090388
26,1786384071.266173,1786384071.222000,1786384071.265593,0.044173
27,1786384076.265557,1786384076.182000,1786384076.220583,0.083557
28,1786384083.060039,1786384082.975000,1786384083.012117,0.085039
29,1786384094.261419,1786384094.186000,1786384094.227112,0.075418
30,1786384100.963844,1786384100.848000,1786384100.893239,0.115844
31,1786384108.365960,1786384108.260000,1786384108.299645,0.105960
32,1786384115.164973,1786384115.060000,1786384115.108114,0.104974
33,1786384135.860215,1786384135.776000,1786384135.813139,0.084215
34,1786384142.461510,1786384142.367000,1786384142.415658,0.094510
35,1786384149.062978,1786384148.960000,1786384148.999517,0.102978
