t_epoch,topic,value
1786391888.090564,/costmap_app/stop_active,False
1786391888.188179,/costmap_app/stop_active,False
1786391888.216874,/cmd_vel,0.0000
1786391888.267632,/cmd_vel,0.0000
1786391888.289141,/costmap_app/stop_active,False
1786391888.314177,/cmd_vel,0.0000
1786391888.364174,/cmd_vel,0.0000
1786391888.388628,/costmap_app/stop_active,False
1786391888.418588,/cmd_vel,0.0000
1786391888.466910,/cmd_vel,0.0000
1786391888.495211,/costmap_app/stop_active,False
1786391888.514197,/cmd_vel,0.0000
1786391888.564150,/cmd_vel,0.0000
1786391888.589448,/costmap_app/stop_active,False
1786391888.617387,/cmd_vel,0.0000
1786391888.666217,/cmd_vel,0.0000
1786391888.692529,/costmap_app/stop_active,False
1786391888.714828,/cmd_vel,0.0000
1786391888.768311,/cmd_vel,0.0000
1786391888.789233,/costmap_app/stop_active,False
1786391888.815390,/cmd_vel,0.0000
1786391888.866191,/cmd_vel,0.0000
1786391888.892066,/costmap_app/stop_active,False
1786391888.915616,/cmd_vel,0.0000
1786391888.965722,/cmd_vel,0.0000
1786391888.992699,/costmap_app/stop_active,False
1786391889.015505,/cmd_vel,0.0000
1786391889.064297,/costmap_app/obstacle_detected,False
1786391889.065198,/cmd_vel,0.0000
1786391889.091180,/costmap_app/stop_active,False
1786391889.107558,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.020
1786391889.114834,/cmd_vel,0.0000
1786391889.165766,/cmd_vel,0.0000
1786391889.188222,/costmap_app/stop_active,False
1786391889.216282,/cmd_vel,0.0000
1786391889.261342,/costmap_app/obstacle_detected,False
1786391889.265739,/cmd_vel,0.0000
1786391889.287884,/costmap_app/stop_active,False
1786391889.314010,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.005
1786391889.314941,/cmd_vel,0.0000
1786391889.366136,/cmd_vel,0.0000
1786391889.390228,/costmap_app/stop_active,False
1786391889.425694,/cmd_vel,0.0000
1786391889.425717,/costmap_app/obstacle_detected,False
1786391889.470192,/cmd_vel,0.0000
1786391889.494906,/costmap_app/stop_active,False
1786391889.516893,/cmd_vel,0.0000
1786391889.523169,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.016
1786391889.523195,/costmap_app/obstacle_detected,False
1786391889.577353,/cmd_vel,0.0000
1786391889.598052,/costmap_app/stop_active,False
1786391889.623693,/cmd_vel,0.0000
1786391889.675109,/cmd_vel,0.0000
1786391889.689924,/costmap_app/stop_active,False
1786391889.712855,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.090
1786391889.719027,/cmd_vel,0.0000
1786391889.769921,/cmd_vel,0.0000
1786391889.769976,/costmap_app/obstacle_detected,False
1786391889.790183,/costmap_app/stop_active,False
1786391889.815576,/cmd_vel,0.0000
1786391889.870239,/cmd_vel,0.0000
1786391889.871377,/costmap_app/obstacle_detected,False
1786391889.890520,/costmap_app/stop_active,False
1786391889.910299,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.037
1786391889.923028,/cmd_vel,0.0000
1786391889.968611,/cmd_vel,0.0000
1786391889.989765,/costmap_app/stop_active,False
1786391890.016174,/cmd_vel,0.0000
1786391890.067157,/cmd_vel,0.0000
1786391890.090823,/costmap_app/stop_active,False
1786391890.439261,/cmd_vel,0.0000
1786391890.439318,/costmap_app/obstacle_detected,False
1786391890.439366,/cmd_vel,0.0000
1786391890.439372,/costmap_app/stop_active,False
1786391890.439382,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.063
1786391890.439752,/cmd_vel,0.0000
1786391890.439810,/cmd_vel,0.0000
1786391890.439816,/costmap_app/stop_active,False
1786391890.439828,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.070
1786391890.439835,/costmap_app/obstacle_detected,False
1786391890.439855,/cmd_vel,0.0000
1786391890.439860,/costmap_app/stop_active,False
1786391890.439864,/costmap_app/obstacle_detected,False
1786391890.439878,/cmd_vel,0.0000
1786391890.439892,/cmd_vel,0.0000
1786391890.466475,/cmd_vel,0.0000
1786391890.483202,/costmap_app/obstacle_detected,False
1786391890.495325,/costmap_app/stop_active,False
1786391890.520543,/cmd_vel,0.0000
1786391890.524927,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.009
1786391890.582131,/cmd_vel,0.0000
1786391890.591159,/costmap_app/stop_active,False
1786391890.621042,/cmd_vel,0.0000
1786391890.670089,/cmd_vel,0.0000
1786391890.687890,/costmap_app/stop_active,False
1786391890.711442,/costmap_app/obstacle_detected,False
1786391890.714815,/cmd_vel,0.0000
1786391890.716500,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.015
1786391890.765038,/cmd_vel,0.0000
1786391890.788099,/costmap_app/stop_active,False
1786391890.814278,/cmd_vel,0.0000
1786391890.864401,/cmd_vel,0.0000
1786391890.888818,/costmap_app/stop_active,False
1786391890.908587,/costmap_app/obstacle_detected,False
1786391890.909111,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.013
1786391890.914288,/cmd_vel,0.0000
1786391890.965102,/cmd_vel,0.0000
1786391890.990088,/costmap_app/stop_active,False
1786391891.014614,/cmd_vel,0.0000
1786391891.064446,/cmd_vel,0.0000
1786391891.089383,/costmap_app/stop_active,False
1786391891.108393,/costmap_app/obstacle_detected,False
1786391891.108944,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.022
1786391891.114374,/cmd_vel,0.0000
1786391891.167087,/cmd_vel,0.0000
1786391891.191685,/costmap_app/stop_active,False
1786391891.214532,/cmd_vel,0.0000
1786391891.265085,/costmap_app/obstacle_detected,False
1786391891.270175,/cmd_vel,0.0000
1786391891.290876,/costmap_app/stop_active,False
1786391891.307504,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.021
1786391891.314209,/cmd_vel,0.0000
1786391891.364815,/cmd_vel,0.0000
1786391891.397001,/costmap_app/stop_active,False
1786391891.414555,/cmd_vel,0.0000
1786391891.464176,/costmap_app/obstacle_detected,False
1786391891.465252,/cmd_vel,0.0000
1786391891.494869,/costmap_app/stop_active,False
1786391891.508753,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.014
1786391891.515380,/cmd_vel,0.0000
1786391891.565511,/cmd_vel,0.0000
1786391891.590543,/costmap_app/stop_active,False
1786391891.619298,/cmd_vel,0.0000
1786391891.666111,/cmd_vel,0.0000
1786391891.687887,/costmap_app/stop_active,False
1786391891.709834,/costmap_app/obstacle_detected,False
1786391891.711012,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.032
1786391891.714734,/cmd_vel,0.0000
1786391891.765236,/cmd_vel,0.0000
1786391891.788086,/costmap_app/stop_active,False
1786391891.814110,/costmap_app/obstacle_detected,False
1786391891.814739,/cmd_vel,0.0000
1786391891.865000,/cmd_vel,0.0000
1786391891.891260,/costmap_app/stop_active,False
1786391891.911114,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.027
1786391891.914666,/cmd_vel,0.0000
1786391891.964684,/cmd_vel,0.0000
1786391891.988180,/costmap_app/stop_active,False
1786391892.018610,/cmd_vel,0.0000
1786391892.018665,/costmap_app/obstacle_detected,False
1786391892.063650,/costmap_app/obstacle_detected,False
1786391892.064647,/cmd_vel,0.0000
1786391892.088910,/costmap_app/stop_active,False
1786391892.107983,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.024
1786391892.114212,/cmd_vel,0.0000
1786391892.164232,/cmd_vel,0.0000
1786391892.187996,/costmap_app/stop_active,False
1786391892.214532,/cmd_vel,0.0000
1786391892.261839,/costmap_app/obstacle_detected,False
1786391892.265553,/cmd_vel,0.0000
1786391892.292434,/costmap_app/stop_active,False
1786391892.307504,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.014
1786391892.314224,/cmd_vel,0.0000
1786391892.364478,/cmd_vel,0.0000
1786391892.371627,/costmap_app/obstacle_detected,False
1786391892.392078,/costmap_app/stop_active,False
1786391892.414834,/cmd_vel,0.0000
1786391892.466662,/cmd_vel,0.0000
1786391892.489464,/costmap_app/stop_active,False
1786391892.511761,/costmap_app/obstacle_detected,False
1786391892.512036,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.028
1786391892.514623,/cmd_vel,0.0000
1786391892.564248,/cmd_vel,0.0000
1786391892.570397,/costmap_app/obstacle_detected,False
1786391892.588817,/costmap_app/stop_active,False
1786391892.614536,/cmd_vel,0.0000
1786391892.669258,/cmd_vel,0.0000
1786391892.688131,/costmap_app/stop_active,False
1786391892.710600,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.018
1786391892.714264,/cmd_vel,0.0000
1786391892.762804,/costmap_app/obstacle_detected,False
1786391892.766074,/cmd_vel,0.0000
1786391892.787964,/costmap_app/stop_active,False
1786391892.815728,/cmd_vel,0.0000
1786391892.865028,/cmd_vel,0.0000
1786391892.890575,/costmap_app/stop_active,False
1786391892.907638,monitor_status,CLEAR|window_clear|FUSION_ACTIVE|depth_age=0.033
1786391892.915452,/cmd_vel,0.0000
1786391892.958988,/costmap_app/obstacle_detected,False
1786391892.965105,/cmd_vel,0.0000
1786391892.989189,/costmap_app/stop_active,False
1786391893.014636,/cmd_vel,0.0000
