t_s,cmd_vel_linear_x
0.615,0.0000
0.620,0.0000
0.620,0.0500
0.624,0.0500
0.624,0.0500
0.684,0.0500
0.726,0.0500
0.776,0.0500
0.823,0.0500
0.872,0.0500
0.925,0.0500
0.973,0.0500
1.025,0.0500
1.076,0.0500
1.124,0.0500
1.174,0.0500
1.224,0.0500
1.272,0.0500
1.330,0.0500
1.373,0.0500
1.422,0.0500
1.472,0.0500
1.522,0.0500
1.572,0.0500
1.624,0.0500
1.672,0.0500
1.721,0.0500
1.771,0.0500
1.823,0.0500
1.873,0.0500
1.921,0.0500
1.974,0.0500
2.021,0.0500
2.072,0.0500
2.121,0.0500
2.175,0.0500
2.221,0.0500
2.274,0.0500
2.321,0.0500
2.371,0.0500
2.421,0.0500
2.472,0.0000
2.521,0.0500
2.571,0.0000
2.623,0.0500
2.678,0.0000
2.722,0.0500
2.777,0.0000
2.826,0.0500
2.870,0.0000
2.922,0.0500
2.972,0.0000
3.023,0.0500
3.072,0.0000
3.121,0.0500
3.171,0.0000
3.221,0.0500
3.271,0.0000
3.324,0.0500
3.373,0.0000
3.423,0.0500
3.471,0.0000
3.523,0.0500
3.571,0.0000
3.623,0.0500
3.671,0.0000
3.722,0.0500
3.771,0.0000
3.822,0.0500
3.871,0.0000
3.922,0.0500
3.970,0.0000
4.021,0.0500
4.073,0.0000
4.121,0.0500
4.170,0.0000
4.221,0.0500
4.273,0.0000
4.326,0.0500
4.373,0.0000
4.422,0.0500
4.473,0.0000
4.523,0.0500
4.573,0.0000
4.621,0.0500
4.672,0.0000
4.721,0.0500
4.772,0.0000
4.827,0.0500
4.874,0.0000
4.924,0.0500
4.971,0.0000
5.021,0.0500
5.072,0.0000
5.121,0.0500
5.171,0.0000
5.223,0.0500
5.271,0.0000
5.321,0.0500
5.371,0.0000
5.422,0.0500
5.471,0.0000
5.524,0.0500
5.572,0.0000
5.622,0.0500
5.671,0.0000
5.722,0.0500
5.774,0.0000
5.822,0.0500
5.874,0.0000
5.921,0.0500
5.973,0.0000
6.024,0.0500
6.071,0.0000
6.121,0.0500
6.171,0.0000
6.225,0.0500
6.273,0.0000
6.327,0.0500
6.371,0.0000
6.422,0.0500
6.475,0.0000
6.522,0.0500
6.570,0.0000
6.621,0.0500
6.673,0.0000
6.722,0.0500
6.771,0.0000
6.821,0.0500
6.874,0.0000
6.922,0.0500
6.975,0.0000
7.022,0.0500
7.071,0.0000
7.122,0.0500
7.172,0.0000
7.224,0.0500
7.271,0.0000
7.325,0.0500
7.372,0.0000
7.421,0.0500
7.472,0.0000
7.523,0.0500
7.572,0.0000
7.621,0.0500
7.674,0.0000
7.724,0.0500
7.771,0.0000
7.822,0.0500
7.874,0.0000
7.921,0.0500
7.972,0.0000
8.021,0.0500
8.072,0.0000
8.122,0.0500
8.172,0.0000
8.221,0.0500
8.273,0.0000
8.321,0.0500
8.373,0.0000
8.421,0.0500
8.472,0.0000
8.521,0.0500
8.573,0.0000
8.624,0.0500
8.671,0.0000
8.721,0.0500
8.771,0.0000
8.822,0.0500
8.873,0.0000
8.921,0.0500
8.971,0.0000
9.022,0.0500
9.072,0.0000
9.122,0.0500
9.172,0.0000
9.225,0.0500
9.274,0.0000
9.321,0.0500
9.373,0.0000
9.425,0.0500
9.471,0.0000
9.521,0.0500
9.576,0.0000
9.621,0.0500
9.671,0.0000
9.721,0.0500
9.772,0.0000
9.821,0.0500
9.873,0.0000
9.924,0.0500
9.972,0.0000
10.022,0.0500
10.073,0.0000
10.122,0.0500
10.170,0.0000
10.221,0.0500
10.271,0.0000
10.321,0.0500
10.371,0.0000
10.421,0.0500
10.471,0.0000
10.522,0.0500
10.570,0.0000
10.621,0.0500
10.671,0.0000
10.721,0.0500
10.771,0.0000
10.822,0.0500
10.871,0.0000
10.921,0.0500
10.970,0.0000
11.022,0.0500
11.071,0.0000
11.121,0.0500
11.171,0.0000
11.221,0.0500
11.271,0.0000
11.321,0.0500
11.372,0.0000
11.421,0.0500
11.472,0.0000
11.521,0.0500
11.572,0.0000
11.621,0.0500
11.671,0.0000
11.721,0.0500
11.773,0.0000
11.823,0.0500
11.871,0.0000
11.920,0.0500
11.971,0.0000
12.021,0.0000
12.071,0.0000
12.137,0.0000
12.170,0.0000
12.237,0.0000
12.272,0.0000
12.337,0.0000
