t_s,cmd_vel_linear_x
0.069,0.0000
0.092,0.0000
0.143,0.0000
0.191,0.0000
0.241,0.0000
0.289,0.0000
0.340,0.0000
0.415,0.0000
0.450,0.0000
0.499,0.0000
0.539,0.0000
0.591,0.0500
0.639,0.0500
0.693,0.0500
0.742,0.0500
0.789,0.0500
0.839,0.0500
0.890,0.0500
0.943,0.0500
0.992,0.0500
1.043,0.0500
1.089,0.0500
1.140,0.0500
1.189,0.0500
1.240,0.0500
1.289,0.0500
1.340,0.0500
1.410,0.0500
1.450,0.0500
1.490,0.0500
1.541,0.0500
1.591,0.0500
1.639,0.0500
1.690,0.0500
1.741,0.0500
1.790,0.0500
1.839,0.0500
1.892,0.0500
1.941,0.0500
1.989,0.0500
2.039,0.0500
2.089,0.0500
2.141,0.0500
2.190,0.0500
2.242,0.0500
2.289,0.0500
2.341,0.0500
2.390,0.0500
2.443,0.0500
2.492,0.0500
2.540,0.0500
2.592,0.0500
2.649,0.0500
2.689,0.0500
2.739,0.0500
2.789,0.0500
2.843,0.0500
2.890,0.0500
2.939,0.0500
2.992,0.0500
3.041,0.0500
3.089,0.0500
3.140,0.0500
3.189,0.0500
3.239,0.0500
3.289,0.0500
3.339,0.0500
3.390,0.0500
3.440,0.0500
3.489,0.0500
3.540,0.0500
3.590,0.0500
3.639,0.0500
3.689,0.0500
3.740,0.0500
3.790,0.0500
3.839,0.0500
3.891,0.0500
3.940,0.0500
3.990,0.0500
4.039,0.0500
4.095,0.0500
4.143,0.0500
4.197,0.0500
4.240,0.0500
4.290,0.0500
4.340,0.0500
4.391,0.0500
4.439,0.0500
4.492,0.0500
4.539,0.0500
4.590,0.0500
4.639,0.0500
4.689,0.0500
4.740,0.0500
4.792,0.0500
4.845,0.0500
4.889,0.0500
4.942,0.0500
4.990,0.0500
5.040,0.0500
5.096,0.0500
5.140,0.0500
5.189,0.0500
5.239,0.0500
5.290,0.0500
5.340,0.0500
5.390,0.0500
5.440,0.0500
5.491,0.0500
5.541,0.0500
5.589,0.0500
5.639,0.0500
5.692,0.0500
5.739,0.0500
5.795,0.0500
5.846,0.0500
5.901,0.0500
5.969,0.0500
5.993,0.0500
6.044,0.0500
6.092,0.0500
6.143,0.0500
6.191,0.0500
6.239,0.0500
6.294,0.0500
6.339,0.0500
6.389,0.0500
6.440,0.0500
6.489,0.0500
6.539,0.0500
6.589,0.0500
6.640,0.0500
6.689,0.0500
6.739,0.0500
6.800,0.0500
6.851,0.0500
6.905,0.0500
6.946,0.0500
6.990,0.0500
7.042,0.0500
7.089,0.0500
7.140,0.0500
7.190,0.0500
7.242,0.0500
7.289,0.0500
7.340,0.0500
7.391,0.0500
7.439,0.0500
7.490,0.0500
7.539,0.0500
7.589,0.0500
7.639,0.0500
7.689,0.0500
7.739,0.0500
7.793,0.0500
7.839,0.0500
7.891,0.0500
7.941,0.0500
7.993,0.0500
8.046,0.0500
8.092,0.0500
8.141,0.0500
8.190,0.0500
8.241,0.0500
8.289,0.0500
8.339,0.0500
8.390,0.0500
8.440,0.0500
8.489,0.0500
8.541,0.0500
8.596,0.0500
8.640,0.0500
8.690,0.0500
8.739,0.0500
8.793,0.0500
8.842,0.0500
8.892,0.0500
8.940,0.0500
8.991,0.0500
9.042,0.0500
9.094,0.0500
9.141,0.0500
9.190,0.0500
9.243,0.0500
9.292,0.0500
9.341,0.0500
9.405,0.0500
9.441,0.0500
9.490,0.0500
9.541,0.0500
9.591,0.0500
9.648,0.0500
9.689,0.0500
9.740,0.0500
9.791,0.0500
9.840,0.0500
9.892,0.0500
9.939,0.0500
9.993,0.0500
10.040,0.0500
10.091,0.0500
10.140,0.0500
10.190,0.0500
10.246,0.0500
10.292,0.0500
10.341,0.0500
10.393,0.0500
10.440,0.0500
10.493,0.0500
10.545,0.0500
10.591,0.0500
10.640,0.0500
10.690,0.0500
10.739,0.0500
10.789,0.0500
10.839,0.0500
10.889,0.0500
10.939,0.0500
10.995,0.0500
11.039,0.0500
11.090,0.0500
11.139,0.0500
11.193,0.0500
11.239,0.0500
11.293,0.0500
11.341,0.0500
11.396,0.0500
11.440,0.0500
11.491,0.0500
11.539,0.0500
11.589,0.0500
11.640,0.0500
11.689,0.0500
11.741,0.0500
11.789,0.0500
11.842,0.0500
11.889,0.0500
11.943,0.0500
11.989,0.0500
12.042,0.0500
12.089,0.0500
12.139,0.0500
