t_s,cmd_vel_linear_x
1.822,0.0000
1.827,0.0000
2.171,0.0000
2.174,0.0000
2.174,0.0000
2.187,0.0000
2.190,0.0000
2.190,0.0000
2.191,0.0000
2.205,0.0000
2.250,0.0000
2.295,0.0000
2.345,0.0000
2.395,0.0000
2.445,0.0000
2.495,0.0000
2.553,0.0000
2.925,0.0000
2.935,0.0000
2.948,0.0000
2.963,0.0000
2.974,0.0000
2.980,0.0000
2.981,0.0000
2.984,0.0000
3.002,0.0000
3.046,0.0000
3.097,0.0000
3.147,0.0000
3.197,0.0000
3.244,0.0000
3.294,0.0000
3.348,0.0000
3.397,0.0000
3.446,0.0000
3.495,0.0000
3.546,0.0000
3.594,0.0000
3.645,0.0000
3.696,0.0000
3.746,0.0000
3.799,0.0000
3.846,0.0000
3.897,0.0000
3.949,0.0000
3.999,0.0000
4.047,0.0000
4.097,0.0000
4.146,0.0000
4.197,0.0000
4.244,0.0000
4.299,0.0000
4.345,0.0000
4.400,0.0000
4.444,0.0000
4.497,0.0000
4.548,0.0000
4.601,0.0000
4.644,0.0000
4.697,0.0000
4.745,0.0000
4.796,0.0000
4.844,0.0000
4.896,0.0000
4.947,0.0000
4.998,0.0000
5.046,0.0000
5.096,0.0000
5.147,0.0000
5.197,0.0000
5.245,0.0000
5.296,0.0000
5.344,0.0000
5.394,0.0000
5.444,0.0000
5.495,0.0000
5.545,0.0000
5.594,0.0000
5.644,0.0000
5.694,0.0000
5.744,0.0000
5.795,0.0000
5.846,0.0000
5.894,0.0000
5.944,0.0000
5.994,0.0000
6.044,0.0000
6.094,0.0000
6.144,0.0000
6.195,0.0000
6.244,0.0000
6.295,0.0000
6.345,0.0000
6.397,0.0000
6.445,0.0000
6.494,0.0000
6.546,0.0000
6.595,0.0000
6.644,0.0000
6.695,0.0000
6.745,0.0000
6.795,0.0000
6.844,0.0000
6.899,0.0000
6.945,0.0000
6.997,0.0000
7.044,0.0000
7.100,0.0000
7.149,0.0000
7.195,0.0000
7.245,0.0000
7.297,0.0000
7.346,0.0000
7.397,0.0000
7.445,0.0000
7.495,0.0000
7.545,0.0000
7.594,0.0000
7.646,0.0000
7.695,0.0000
7.745,0.0000
7.794,0.0000
7.846,0.0000
7.895,0.0000
7.948,0.0000
7.995,0.0000
8.046,0.0000
8.094,0.0000
8.145,0.0000
8.195,0.0000
8.245,0.0000
8.295,0.0000
8.344,0.0000
8.400,0.0000
8.445,0.0000
8.496,0.0000
8.544,0.0000
8.595,0.0000
8.645,0.0000
8.697,0.0000
8.744,0.0000
8.794,0.0000
8.846,0.0000
8.895,0.0000
8.945,0.0000
8.995,0.0000
9.046,0.0000
9.095,0.0000
9.147,0.0000
9.196,0.0000
9.245,0.0000
9.294,0.0000
9.346,0.0000
9.394,0.0000
9.447,0.0000
9.495,0.0000
9.544,0.0000
9.595,0.0000
9.644,0.0000
9.694,0.0000
9.746,0.0000
9.795,0.0000
9.844,0.0000
9.895,0.0000
9.944,0.0000
9.995,0.0000
10.045,0.0000
10.095,0.0000
10.144,0.0000
10.195,0.0000
10.244,0.0000
10.294,0.0000
10.345,0.0000
10.398,0.0000
10.446,0.0000
10.496,0.0000
10.545,0.0000
10.596,0.0000
10.648,0.0000
10.696,0.0000
10.745,0.0000
10.796,0.0000
10.845,0.0000
10.897,0.0000
10.948,0.0000
10.994,0.0000
11.046,0.0000
11.097,0.0000
11.144,0.0000
11.194,0.0000
11.245,0.0000
11.296,0.0000
11.345,0.0000
11.396,0.0000
11.445,0.0000
11.496,0.0000
11.544,0.0000
11.594,0.0000
11.645,0.0000
11.696,0.0000
11.745,0.0000
11.795,0.0000
11.845,0.0000
11.898,0.0000
11.945,0.0000
11.996,0.0000
12.061,0.0000
12.096,0.0000
12.158,0.0000
12.196,0.0000
12.262,0.0000
12.298,0.0000
